"Qty";"Value";"Device";"Package";"Parts";"Description";"NO_BOM";"PACKAGE";"PARTNO";"PNPROTATION";"PROD_ID";"RATING";"TOLERANCE";"VALUE";
"2";"";"CONN_01";"1X01";"J1, J2";"Single connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"1";"";"CONN_02";"1X02";"J3";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";
"1";"";"CONN_04";"1X04";"J4";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"CONN-09696";"";"";"";
"4";"0.1uF";"C-EUC0201_MURATA_GRM03";"C0201_MURATA_GRM03";"C2, C6, C10, C12";"CAPACITOR, European symbol";"";"0201";"";"";"";"25V";"10%";"";
"1";"1.0uF";"C-EUC0201_MURATA_GRM03";"C0201_MURATA_GRM03";"C4";"CAPACITOR, European symbol";"";"0201";"";"";"";"25V";"10%";"";
"8";"10k";"R-EU_R0201_VISHAY_CRCW0201";"R0201_VISHAY_CRCW0201";"R1, R2, R3, R4, R5, R6, R7, R8";"RESISTOR, European symbol";"";"0201";"";"";"";"1/20W";"1%";"";
"2";"10nF";"C-EUC0201_MURATA_GRM03";"C0201_MURATA_GRM03";"C9, C13";"CAPACITOR, European symbol";"";"0201";"";"";"";"25V";"10%";"";
"2";"10uF";"C-EUC0201_MURATA_GRM03";"C0201_MURATA_GRM03";"C1, C3";"CAPACITOR, European symbol";"";"0201";"";"";"";"25V";"10%";"";
"2";"15pF";"C-EUC0201_MURATA_GRM03";"C0201_MURATA_GRM03";"C7, C8";"CAPACITOR, European symbol";"";"0201";"";"";"";"25V";"10%";"";
"1";"2.2nF";"C-EUC0201_MURATA_GRM03";"C0201_MURATA_GRM03";"C11";"CAPACITOR, European symbol";"";"0201";"";"";"";"25V";"10%";"";
"1";"2.2uF";"C-EUC0201_MURATA_GRM03";"C0201_MURATA_GRM03";"C5";"CAPACITOR, European symbol";"";"0201";"";"";"";"25V";"10%";"";
"1";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"U2";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";"";"";"";"VREG-12457";"";"";"3.3V";
"1";"32.768kHz";"CRYSTAL-32.768KHZSMD-3.2X1.5";"CRYSTAL-SMD-3.2X1.5MM";"Y1";"32.768kHz Crystal";"";"";"";"";"XTAL-13062";"";"";"32.768kHz";
"1";"47346-0001";"AS-ITM-00021";"MICRO_USB";"USB";"CONN RCPT 5POS MICRO USB R/A";"";"";"AS-ITM-00021";"90";"";"";"";"47346-0001";
"1";"ATSAMD21G-A";"ATSAMD21G-A";"TQFP-48";"U3";"Atmel SAMD21G SMART ARM-Based Microcontroller";"";"";"";"";"IC-13064";"";"";"";
"1";"BC118";"BC118";"BC118";"U4";"Blue Creation BC118 Bluetooth 4.0 Audio Module";"";"";"";"";"WRL-12203";"";"";"BC118";
"1";"MBR120VLSFT1G";"AS-ITM-00111";"SOD-123FL";"D1";"DIODE SCHOTTKY 20V 1A SOD123L";"";"";"AS-ITM-00111";"";"";"";"";"MBR120VLSFT1G";
"1";"MCP73831 ";"AS-ITM-00136";"SOT-23";"U1";"IC CONTROLLER LI-ION 4.2V SOT23-5";"";"";"AS-ITM-00136";"270";"";"";"";"MCP73831 ";
"1";"MPU6050";"MPU6050";"QFN50P400X400X95-25T265X275N";"IC1";"The triple-axis MEMS gyroscope";"";"";"";"";"";"";"";"";
"5";"PIN_1X.05"1";"PIN_1X.05"1";"1X.05"";"3.3V, GND, RESET, SWCLK, SWDIO";"1 Pin 0.05" Header";"";"";"";"";"";"";"";"";
"1";"SM02B-SRSS-TB(LF)(SN)";"AS-ITM-00231";"JST_SH_2X1";"BATT";"CONN HEADER SH 2POS SIDE 1MM";"";"";"AS-ITM-00231";"180";"";"";"";"SM02B-SRSS-TB(LF)(SN)";
